Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Mtmr4,,
Clk3,,
Gm26827,,
Tomm6,,
Bin3,,
Hist1h2bf,,
Gm38182,,
Amotl1,,
Sos1,,
Olfr1383,RGC high THY/CD ratio,RGC high THY/CD ratio
Hbp1,,
Gm17080,,
Mir3093,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
Gm10501,,
Ssh3,RGC candidate,"HSA_ThyRbpms_Cov,  "
Ngdn,,
Kcnj13,,
Armc10,,
Ppp1r26,,
Plxna3,,
Ints3,RGC candidate,BXD_Thy1_Cov
Ctbp1,,
Tor2a,,
Gucy1a3,Amacrine,
Cnnm4,,
Emp3,,
Proser2,,
1700007J10Rik,,
Pop4,,
Zfp202,,
1500015A07Rik,,
Sh3tc1,,
Luc7l,,
Fen1,,
Eml3,,
2610306M01Rik,,
Gpbar1,,
S100a3,,
Rps3a1,RGC candidate Dec18,
Arhgap12,,
Nubp1,,
Prpf31,,
Acbd5,,
Ccnyl1,,
Lig3,,
Irf2bp1,,
Sec61g,,
Zdhhc5,,
Ppp5c,,
4930506C21Rik,,
mmu-mir-24-1,,
Adamts19,,
Dap3,,
Tiam2,,
D15Ertd621e,,
Taf11,,
Snrpd1,,
Pex6,,
Zfp182,,
Tbccd1,,
Wnk2,,
Fam206a,,
Adam22,RGC candidate,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ankrd27,,
Gm26694,Housekeeping,
Crisp1,RGC master,RGC_Type_39
Drg2,,
Atl3,,
Hist1h4m,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm24574,,
Gm27403,,
Snx3,,
2810428I15Rik,,
Hist1h2bp,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows lower expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Riok1,,
Xk,,
Taok1,Housekeeping,
Has1,,
Mtmr10,,
Mrps18a,"RGC candidate, mitochondrial stress",
Micu2,,
Gm27177,,
Btd,,
Elmod3,,
4930593A02Rik,,
9830147E19Rik,,
Foxg1,RGC high THY/CD ratio,RGC high THY/CD ratio
1700084E18Rik,,
Sqstm1,,
Ppp4r1,,
Gsr,,
Gid4,,
Prmt2,,
Etfdh,,
Mir505,"RGC high THY/CD ratio, stress","Total count of cells >0 is low (only 64 in THY1 plates). Autophagy inhibitory MIR that target ATG12, invovled in axonal dystrophy and neurodegeneration. Highest high THY/CD ratio (highest values isi 6.37 for this microRNA). Mir505-3p regulates axonal development via inhibiting the autophagy pathway by targeting Atg12 (PMID 28820282)."
Ubtd2,,
Smim19,,
Ankzf1,,
Stip1,,
Tmem173,,
3110043O21Rik,,
Arsi,,
Hbs1l,,
Socs6,,
Nmrk1,,
Slc10a3,,
3110062M04Rik,,
Hist3h2ba,,
Avpi1,,
Mgea5,,
Hnrnpa3,RGC candidate Dec18,
Timm23,,
Ndufb3,,
B430219N15Rik,,
Spcs3,,
Elavl1,RGC candidate Dec18,
Fam120b,,
Drd2,,
Adgre5,,
Ndufc1,RGC candidate Dec18,
Zfp825,,
Adamts7,,
A730071L15Rik,,
Slc25a30,,
RP24-80F7.7,,
Flcn,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Timm17b,,
Zfp119a,,
Isoc2b,,
Rpl39,"RGC candidate, stress",
Mri1,,
Atpaf2,,
Nucb1,,
Pdhb,,
Rpl35,"RGC housekeeping, stress","Highly enriched RGC expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response."
Nhp2,,
Pafah1b3,,
Mgrn1,RGC candidate,BXD_Thy1_Cov
Sf3b2,,
Pcbd2,,
Rpl35a,Housekeeping,"RGC candidate, stressed"
Nkx6-3,,
Tmem238,,
Mprip,"RGC candidate, stress, pericyte",
Mir7053,,
Tfeb,,
Rps28,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
3110056K07Rik,,
Pigb,,
Zfp185,,
Gm16907,,
Ube2l6,,
Pak1ip1,,
Pkn3,,
Fam3a,,
Pnpla7,,
Picalm,,
Mrpl2,,
Chpf2,RGC candidate,BXD_Thy1_Cov
Rdh14,,
Abhd17c,,
A230072C01Rik,,
AC034285.3,RGC high THY/CD ratio,RGC high THY/CD ratio
Vav2,,
Prkd2,,
Apobec3,,
Ahsa1,,
Zfp949,,
Nagpa,,
Ripk2,,
Kctd9,,
Safb,,
Canx,RGC prime candidate,"High RGC enriched expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Senp8,,
Ptrh2,,
Mcts1,,
Smtn,,
Tipin,,
Yes1,,
Pla2g7,,
Rbm4b,Unknown,
Pdia2,,
Rabggta,,
Zmat5,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, High covariation with Rbpms and Tubb3"
Gap43,"RGC mixed, amacrine","Many, Macosko 2015, expressed in amacrine cell,negative correlation with many RGC markers in expression data sets"
Gpr152,,
Pnn,,
Mir3074-1,,
Rab39,,
N4bp3,,
Riok2,"RGC candidate, stress",
Vma21,,
Limch1,Endothelium,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Hnrnph1,,
Wnt6,,
P2ry12,"Microglia, retinal stress","Tran and Sanes 2019, others"
Ly6g6f,,
Trim25,,
Hepacam,,
Mier2,,
1700042O10Rik,,
Cnot11,,
Nr1h2,,
Ddx39,,
Naa30,,
Mir27b,,
RP23-281H4.10,,
Fgf13,RGC prime candidate,"High RGC enriched expression relative whole retina in Geisert data, High covariation with all core RGC reference genes except Jam2"
Sf1,,
Hnrnpll,RGC candidate Dec18,
Mir23b,,
Cfl1,"RGC candidate Dec18, amacrine ",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Drg1,,
mmu-mir-3535,,
Nup50,,
Spem1,RGC master,RGC_Type_39
Rbm17,,
Tmem184c,,
Ccar2,,
Sae1,,
Stam2,,
C1qtnf6,RGC high THY/CD ratio,RGC high THY/CD ratio
Hcfc2,,
Catip,,
Esrp1,,
Prob1,,
Mir6911,,
1700031P21Rik,,
Rmnd5b,,
Narfl,,
Mir7070,,
Fam131a,,
Ticam1,,
Dnlz,,
Snord35b,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Trmt112,"RGC candidate, stressed",
Ndufb4,,
Evi2b,,
Tyrobp,"RGC candidate, stress, microglia",
Ifit1bl1,,
Ckm,RGC master,RGC_Type_22
Cul1,,
Mex3c,,
Ccdc136,"Bipolar, photoreceptor cone",
Rps11,"RGC candidate, stressed",
Sgpp1,,
Dcaf15,,
Ceacam19,,
Chrnb1,,
Socs4,,
H60b,,
Ltb,"Microglia, macrophage, retinal stress",
Fau,"Housekeeping, stress, RGC","High RGC enriched expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response."
Ggt6,RGC high THY/CD ratio,RGC high THY/CD ratio
Nomo1,,
Timm13,"RGC candidate, stressed",
Nudt19,,
Mir7085,,
Rsu1,,
Slc36a1,,
Etv1,,
Spry4,,
Eed,,
Kit,"RGC master, amacrine","Conflict with Rheaume, RGC_Type_34, Amacrine"
Ndor1,,
Zkscan8,,
Ptov1,,
Gm16069,,
Ing2,,
Ggps1,,
Pabpc1,,
Anks3,,
Egln2,,
D3Ertd751e,,
Gm16617,,
6330408A02Rik,,
Gm26749,,
Abca1,,
7-Sep,"Horizontal, pericyte",
Agpat1,RGC candidate,BXD_Thy1_Cov
Wdr45,,
Ostf1,Endothelium,SY_informative
Vps26a,,
Gnb2l1,"RGC candidate, stressed",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Cln8,,
Tmem60,,
D730045A05Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Ep300,,
RP23-350K3.2,,
Pick1,RGC master,"Muzyky and Badea 2018 show RGC vs retina enriched gene from P0 to P14, and enriched in Pou4f1/Brn3a RGCs at P3"
Sec14l2,,
Gm28364,,
Mlf1,,
Ift57,,
Mob1b,,
Neto2,Amacrine,
Rnf4,,
Plekhh1,,
Ccdc64b,,
Mb21d2,RGC prime candidate,Label in small dorsal part of optic tract in GENSAT. Probably termination of any RGCs in LGN.  Not enriched in RGC/retina analysis of Gesiert. Wil need to validate.
Gys1,,
2810021J22Rik,,
Ttc1,RGC candidate Dec18,
Ewsr1,,
Pcnp,RGC candidate Dec18,
Usp37,,
Sltm,RGC candidate Dec18,
Map2k2,,
Gm13938,,
Il6,,
Mir1983,,
Star,,
Mrpl14,RGC candidate Dec18,
Lcor,,
Ino80d,,
Slc7a15,,
Ccdc124,,
Rgl2,RGC prime candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress). HIgh RGC/retinal enrichment in Geisert and moderately high expression"
Adam9,,
Pex3,,
Kpna3,,
Lss,RGC candidate,High covariation with NEFL
Eif3h,"RGC candidate, stressed",
Eef1g,RGC candidate Dec18,
Ccdc86,,
St13,,
Rbm7,,
Vars2,,
Steap4,,
RP23-7D3.3,,
Mfsd10,RGC candidate,High covariation with Rbpms2
Arf1,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, Possible retinal ganglion cell marker or neuronal stress marker. High covariation with Thy1 in Lu's glaucoma-aging retinal expression data of 2016."
Frg1,,
mmu-mir-6976,,
Rnf146,,
Tmed3,,
Lsmem1,,
Dclk1,Amacrine,
Cnnm3,,
BC004004,,
Col22a1,,
Izumo2,,
Grm6,Bipolar low,"Shekar 2016,, Nakajima et al., 1993; Vardi and Morigiwa, 199, "
Spice1,,
Tgfbr1,Microglia,
Cby1,,
Inip,,
Snora64,,
1700109G14Rik,,
Mmaa,,
Srgn,Endothelium,
Gamt,,
Tkfc,,
Dcst1,,
Tmem134,"RGC candidate, stress",
Bbx,,
Rps7,"RGC housekeeping, stress",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
Kbtbd7,,
Tmem144,,
Umps,,
Cct4,,
Fam84b,Horizontal,
Smg5,,
Senp6,,
Mir6335,,
Rbks,RGC master,RGC_Type_6
Ppig,,
Xbp1,Unknown,
Trim17,RGC candidate Dec18,
Trim41,,
Extl3,,
1700017B05Rik,SY_informative,SY_informative
Rnaset2a,,
Edc3,,
Megf8,,
Mdh1b,,
Gm12758,,
4930483K19Rik,,
Crlf1,,
Zswim7,,
Susd6,,
Zfp383,,
Pfdn1,,
Ttc7,,
Endod1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Hist1h2bm,RGC high THY/CD ratio,RGC high THY/CD ratio
Dpysl3,,
Pradc1,,
Sap130,,
Sf3b1,,
Spty2d1,,
Vcp,,
Gm12660,,
Snora69,RGC candidate,
Rnf167,RGC prime candidate,High covariation with Rbpms and Tubb3
Rabepk,,
Nanos3,,
Msrb1,,
0610009O20Rik,RGC candidate,BXD_Thy1_Cov
0610009O20Rik,,
Trappc1,"RGC candidate, stressed",
Polr2d,,
Bckdha,,
Gm20535,,
Fbxo10,RGC candidate,BXD_Thy1_Cov
Pdcd7,,
Mir5618,,
Gm13483,,
Tmem79,,
Epha1,,
Poll,,
Ifi47,,
Slc22a4,,
Tubgcp5,Unknown,Geisert: Covariate of RGC reference genes
Tdrd12,,
Carns1,,
Fpgs,,
Gramd4,,
Klf9,RGC prime candidate,"Goldberg 26844267,muscle A-kinase anchoring protein-α (mAKAPα) is required for the survival and axon growth of cultured primary RGCs. Although genetic deletion of mAKAPα early in prenatal RGC development did not affect RGC survival into adulthood, nor promoted the death of RGCs in the uninjured adult retina, loss of mAKAPα in the adult increased RGC death after optic nerve crush. Importantly, mAKAPα was required for the neuroprotective effects of brain-derived neurotrophic factor and cyclic adenosine-monophosphate (cAMP) after injury. These results identify mAKAPα as a scaffold for signaling in the stressed neuron that is required for RGC neuroprotection after optic nerve injury. "
Fan1,,
Gm20470,,
5730507C01Rik,,
Zfp799,,
Leprotl1,,
Taf2,,
Ammecr1l,,
Tmem150a,,
Lrrn3,Amacrine,
Ccdc84,,
Ercc3,,
Thop1,,
Golm1,,
Zfp473,,
Pp2d1,,
Arrdc1,,
Sdha,RGC candidate Dec18,
AL592149.1,,
Proca1,,
Cpn1,SY_informative,SY_informative
RP23-446E21.5,,
Morn5,,
Gm16093,,
Zfp318,,
Trim38,RGC high THY/CD ratio,RGC high THY/CD ratio
Fxr2,,
Snora41,,
Slc22a5,,
Fat1,,
3110040N11Rik,,
Lgalsl,,
Osbpl11,,
Tmem168,,
Pcdhb20,,
Gm26882,,
Gm9797,,
Zufsp,,
Gm27631,,
Lmbrd1,,
Olfr1381,RGC high THY/CD ratio,RGC high THY/CD ratio
Mir6979,,
Ttc9,,
Asgr2,,
2700062C07Rik,,
Tmem131,,
Trpm4,,
Zfp395,,
Cstf2t,,
Cdc23,,
1700010K23Rik,,
Pcbd1,Horizontal,
Nosip,,
Dph7,,
Zfp959,,
Nipbl,Housekeeping,
Ccdc130,,
Ndufa7,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Spata24,,
Ccdc69,RGC candidate,"HSA_ThyRbpms_Cov,  "
Pura,,
Rsl24d1,,
Tmem138,,
Vps51,,
Sptssb,,
2510002D24Rik,,
Brcc3,,
Fance,,
Mir7011,,
Nufip2,"RGC candidate, stressed","High RGC/retina enrichment, high RGC expression in Pete Williams"
G3bp1,RGC master,"NonO, G3bp1, and Psf (Sfpq) are all likely to be expressed specifically in retinal ganglion cells (RGC) and interact with RBPMS. These proteins form cytoplasmic RNA-protein granules with KIF5A that are transported to neurites (see GeneWiki),  Not confirmed in Macosko "
Cnot8,,
Plek,"Microglia, retinal stress",
H2afx,,
Cul7,,
Calr,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Nlrc4,,
Mamdc2,,
Asna1,,
Mfsd1,,
Nek8,,
Slc7a9,,
Iars,,
Ints10,,
Atad1,,
Ccdc176,,
Gm16136,,
Snapc3,,
Bspry,,
Mrfap1,RGC prime candidate,"Should try to validate with Monica and Pete. High RGC enriched expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Ssh2,Housekeeping,
Fem1c,,
Sik2,,
Pmm2,,
Bgn,Pericyte,
Pvrl1,,
Tomm40,,
Gm38058,,
Supv3l1,,
Smad3,,
Tcaf1,RGC candidate,BXD_Thy1_Cov
Tcaf1,,
Hdhd3,,
2310002F09Rik,,
Htt,,
Nkiras1,,
Lrp2bp,,
Fkbp7,,
Gm23865,,
Ptpdc1,,
Fam45a,,
Phyhd1,,
Paxip1,,
Peli1,,
Rps25,"RGC candidate, housekeeping",
mt-Nd4l,"Mitochondrial, housekeeping",SY_informative
Neurl3,Microglia,SY adult sc_RNA-seq cluster 32 high = microglia
Sf3b6,,
Nod1,,
Sec11c,RGC candidate,BXD_Thy1_Cov
BC048609,,
Tpsb2,,
Arpin,,
Mir6910,,
Cabp2,Bipolar,
Zfp184,,
Ktn1,Housekeeping,
Wnt10a,,
Btbd1,,
Erdr1,,
Sh2d3c,RGC prime candidate,High covariation with Rbpms2
Gm14764,,
Zfp449,,
Pkm,Housekeeping,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gpn1,,
Arl9,,
Gm28285,,
4930562C15Rik,,
Abcg2,Endothelium,
Rbm25,"RGC candidate, stressed",
Pde9a,,
Tbc1d9,,
Nthl1,,
Bcl2a1a,Microglia,SY adult sc_RNA-seq cluster 32 high = microglia
RP23-328P19.3,,
Als2cr12,,
Cdip1,,
Fndc4,,
Irgm1,,
Map2k7,,
Col11a2,,
Ssr4,,
Alkbh5,,
Gm4285,,
Tnk1,,
Faf2,,
Fam136a,,
Pik3ap1,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation). Moderate RGC expression in Pete Williams and stress-up response."
2810403A07Rik,,
Atp5d,"RGC candidate, stressed",
Surf6,,
Mir1893,,
Gm12404,,
Eif4ebp3,,
Zfp523,,
Ttll1,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Gm21981,,
Rac2,,
Tmem17,,
Adra2c,,
Hist1h2af,RGC high THY/CD ratio,"RGC high THY/CD ratio, negative regulation of retrograde protein transport, ER to cytosol"
Drd3,,
Specc1l,,
Gna11,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Agpat5,,
Zbtb11os1,,
Gm15932,,
Rfx3,,
Mrpl40,,
Odf2,,
Nlrx1,,
Gm26714,,
5031414D18Rik,,
Sub1,,
Fam193a,,
Firre,,
Vaultrc5,,
Wdr73,,
Gm10637,,
Ncbp2,,
Ms4a6b,,
1700039E15Rik,,
Otud5,,
Mks1,,
Mybl1,,
Lin52,,
Gabrr3,,
Trpt1,,
Mir682,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Znhit2,,
Safb2,,
Sec62,Housekeeping,
Gm20695,RGC candidate Dec18,
Mir6912,,
Psmb6,,
Gspt1,,
Mir3083,,
B230319C09Rik,,
Tbcel,,
Plch1,"Amacrine, horizontal",
Unc93b1,"Microglia, retinal stress",
Gm17529,,
Esrra,,
Slc17a1,RGC candidate,"Wiki_RGC,  "
Ssr2,,
Sra1,,
Fbxl4,,
Inpp5e,,
Tmem245,Unknown,
Hsd17b4,,
Iah1,,
Ap2a1,RGC candidate,BXD_Thy1_Cov
Csn1s2a,,
Cltc,,
Plec,,
C2cd2l,,
Ints6,,
Mir7666,,
Kctd15,,
Trim27,,
Top1mt,,
Apba3,,
Psmd8,,
D430040D24Rik,,
Commd8,,
Gm27196,,
Hist1h2ba,,
Pmpcb,,
Btbd18,,
C87436,,
Mir1960,,
Ift27,,
Clcn2,,
Tnip2,,
Nqo2,,
Gm6938,,
Ubxn6,,
Mrpl34,,
Poln,,
Slc2a12,"RGC candidate, stress",
Tlr2,"Microglia, retinal stress",SY adult sc_RNA-seq cluster 32 high = microglia
Clk4,RGC candidate Dec18,
Epc2,,
Wnt16,,
Retn,,
Hist1h3h,RGC high THY/CD ratio,RGC high THY/CD ratio
E130311K13Rik,,
Cd86,,
Snrpa,,
Mpzl3,,
Abhd8,,
C030039L03Rik,,
Zfp729a,,
Dync1i2,,
Arhgap8,,
Atp6v1f,"RGC candidate, mitochondrial stress",
Efna4,,
Sumo1,,
Mir1930,,
Mrpl39,,
Pde8a,,
Prdm9,,
Ascc1,,
Cct8,,
Tpbg,Amacrine low,
Erp44,RGC candidate,BXD_Thy1_Cov
Gm16534,,
2810459M11Rik,,
Six3,Amacrine,
Mterf3,RGC candidate,BXD_Thy1_Cov
Mterf3,,
Ddx46,,
Hars,,
Ccdc97,,
Gnpda2,,
Slc37a2,,
Csf2rb,,
Ptprcap,,
Man2c1,,
Gtf3c4,,
Arel1,,
Dtd2,,
mt-Tm,Mitochondrial,
Dpysl2,"RGC mixed, amacrine",Macosko 2015
Memo1,,
10-Sep,,
2310040G24Rik,,
Mir8097,,
Bphl,,
Scaf1,,
Syndig1l,RGC candidate,BXD_Thy1_Cov
Plekhj1,,
Fam98a,,
Gm15880,,
Zfp707,,
Kctd11,,
Ankib1,,
Elp2,,
Ddhd1,,
Amacr,,
Cluh,,
Wash1,,
Xab2,,
Fgd4,Unknown,
Tbc1d23,,
Mrpl52,,
Cox6b1,"RGC housekeeping, stress",High RGC enriched expression relative whole retina in Geisert data.  HIgh RGC expression in Pete Williams and stress-up response.
Zfp945,,
Tmod1,Horizontal,
Gm20522,,
Prss23os,RGC high THY/CD ratio,RGC high THY/CD ratio
Klhl26,SY_informative,SY_informative
Gm15350,,
Zfp53,,
Pgk2,,
Tm2d2,RGC candidate Dec18,
RP23-171F16.5,,
Mir7052,,
AU040972,,
Gm37256,,
Ccdc8,,
Ankrd39,,
Lcp2,,
1110007C09Rik,,
Stxbp4,,
Samm50,,
Cldn6,,
Wwc2,,
Cactin,,
Fbxw9,,
Zfp954,,
Ube2g2,,
Zfp101,,
Heatr6,,
Slc39a6,,
Vmac,,
Phospho2,,
Hrct1,,
Psma6,"RGC candidate, stressed",
Igdcc4,,
Cdkn2b,,
Ociad1,,
Hist3h2a,RGC candidate,"Wiki_RGC,  "
Leo1,,
Ddx39b,,
Smarcal1,,
Mmp11,,
Hps1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Sall2,,
Tmem180,RGC candidate,BXD_Thy1_Cov
Pipox,,
Dnm2,"RGC candidate, stress",
Cbr4,,
1700029J07Rik,,
AI837181,,
Fam50a,,
Supt6,,
Rab8a,,
Cbx3,,
Cirbp,,
Sf3b5,,
Ube2w,,
Htr2b,,
Ube2j1,,
Gpr171,,
Slc43a1,,
Ccdc78,,
Adgrl1,,
Capn11,RGC candidate,Geisert High covariation with NF eigengene
Snx1,,
Gnb1l,,
Snord11,,
Ndufa13,"RGC candidate, mitochondrial stress",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ash1l,,
Smim14,,
Apobec2,,
Aox1,,
Aspa,,
Gm26643,,
Cdpf1,,
Zfyve27,,
Vash1,,
Edn1,RGC master,RGC_Type_36
Mlh3,,
Lonrf3,,
Mtmr1,,
Dock4,,
Olfr70,,
Zfp456,,
Meikin,,
Dcaf12,,
Lyg1,,
Rrm2b,,
Dhdh,,
Nmbr,,
Rufy4,,
Frs3os,,
Lsm6,,
0610010K14Rik,,
Ffar3,,
Etv3,,
Nwd1,,
Lmtk3,,
Zfp710,,
Zfp772,,
Uqcr10,"RGC prime candidate, stress",High RGC enriched expression relative whole retina in Geisert data. HIgh RGC expression in Pete Williams and stress-up response.
Tmem70,,
Galt,,
Olfr750,,
Tigd5,,
2310061I04Rik,,
Ucma,,
Siah2,,
Kansl3,RGC candidate,BXD_Thy1_Cov
Cthrc1,RGC master,RGC_Type_24
Angel1,RGC candidate,BXD_Thy1_Cov
Bcr,,
Mir6360,,
Ppapdc1b,,
Sbsn,,
Slc35b3,,
Tmigd1,,
Pgc,,
Cpt1a,,
Snx19,,
Chordc1,,
Pde6d,"Photoreceptor, mixed",
Ankrd46,,
Ccl3,"Microglia, retinal stress",Macosko 2015 
Rarb,,
Ddx50,RGC candidate,BXD_Thy1_Cov
Dhps,,
Basp1,"RGC mixed, amacrine, horizontal","Highly enriched RGC expression relative whole retina in Geisert data, "
Ttc16,,
Rhbg,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
1700028M03Rik,RGC candidate,
Cerkl,,
9030624G23Rik,,
Pdcd2,,
Polr2m,,
Iws1,,
Bcor,,
Hmox2,Unknown,High covariation with Tubb3
Pkd2l2,,
Sp3,,
RP23-149A1.6,,
Clint1,,
Rnase9,,
Lgals8,,
Nhej1,,
1700051A21Rik,,
Gkap1,,
Skiv2l,RGC candidate,BXD_Thy1_Cov
Yjefn3,,
Fut11,,
Mef2d,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
Impact,Amacrine,
Cetn4,,
Nsun2,,
Apc2,RGC candidate,BXD_Thy1_Cov  
Stx7,,
Nipsnap3a,,
Gm17056,,
Haus1,,
4930551O13Rik,,
Usp32,,
Gm1673,Amacrine,
Sfr1,,
Actr8,,
Gm829,,
Xrcc1,,
Fxyd2,RGC high THY/CD ratio,RGC high THY/CD ratio
Commd5,,
Pqbp1,,
Gm21987,,
Olfr275,"RGC candidate, stress",
Phf5a,,
Thoc2,,
Rce1,,
Zfand1,,
Pfdn6,RGC prime candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress). High RGC/retina enrichment in Geisert and high retinal expression"
Hist1h2ac,,
Chmp2b,,
Gm27028,,
Dlg4,,
Rbm43,,
Wdr5b,"RGC candidate, stressed",SY TSNE cluster 27L contains FAM162A (apoptosis) but other genes poorly annotated and low retinal expression
Ankrd37,,
Atf6b,RGC candidate,BXD_Thy1_Cov
Tm9sf1,,
Mlst8,,
Klhl5,"RGC candidate, stress",
Tigit,,
Pcsk4,,
Gabpa,,
Sash1,,
Slc44a2,,
Hacd2,,
Ms4a2,,
Dohh,,
Klhl7,,
RP23-114P22.5,,
2310036O22Rik,,
Ptprd,"Housekeeping, amacrine",
D19Bwg1357e,,
Srfbp1,,
Gm16754,,
Gm16234,,
Zbtb33,,
Msantd4,,
Zfyve1,RGC candidate,BXD_Thy1_Cov
Arid1b,Housekeeping,
Gm17139,,
Mir5098,,
Cox17,"RGC candidate, mitochondrial stress",
Prpf40a,,
Gm27772,,
Ccdc142,,
Decr2,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
RP23-7E4.9,,
Trpv1,,
Ldoc1l,,
Gm20517,,
Ddx49,,
Tep1,,
Crk,,
Wdr5,,
H2-Eb1,RGC master,RGC_Type_33
Cbs,,
Tpgs1,,
Rbm4,,
Ube2r2,,
Erich6,,
Samd7,"RGC candidate, stress",
Mum1,,
Mrps2,,
Dedd2,,
Hist1h2ao,,
2010012O05Rik,,
Rab36,,
Aip,,
Hist1h4n,RGC high THY/CD ratio,RGC high THY/CD ratio
Sh3rf1,,
Gm15598,,
Myadm,Unknown,
Gm15816,,
Tex28,,
Gorasp2,,
Zfp715,,
Dazap1,,
Pias2,,
Acan,,
Sbno2,,
Brd8,,
Mat2a,,
Msh6,,
Gm16536,,
Mrpl35,,
Ptdss1,,
Gm15537,,
Bbs4,,
Tox4,,
Tjp1,,
0610040J01Rik,,
Cep89,,
Jade1,,
Gm17189,,
Naa35,,
Ffar2,,
Larp1b,,
Sec61a1,,
Crebbp,,
Stk11,,
Trmu,,
Zfp454,,
1700016D08Rik,,
Gm9970,,
Tnip1,,
Atp5a1,,
Gm2087,,
8430429K09Rik,,
Frat2,,
C1ql3,,
Stub1,,
Irf5,,
Rhox4c,,RGC high THY/CD ratio
Ethe1,,
Cd68,"RPE, non-specific",Chintalapudi 2016
Rgcc,"RGC master, endothelium","Conflict with Rheaume, RGC_Type_16, but Macosko as endothelium, SY_informative"
Mir467g,,
Slx4,,
Slc16a9,RGC master,RGC_Type_22
Mad2l1,,
Ramp3,"RGC candidate, stress",
Adprh,,
Smarca2,Housekeeping,
Trem2,"Microglia, retinal stress",
Ring1,RGC candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress, but this gene has modest RGC/retina enrichment"
Psma2,,
Rab26,,
Inpp5k,,
Pcgf5,RGC master,RGC_Type_14
Invs,,
Prkci,RGC candidate,BXD_Thy1_Cov
Zfp275,,
Kdm3b,Unknown,
Eef2,,
Pag1,,
Fdft1,,
Osbp,,
Gm5893,,
Cndp2,,
Paip2b,"Photoreceptor, mixed",Pinelli 2016 putative photoreceptor gene
Tsacc,,
Tor1a,,
2410127L17Rik,,
Fam133b,,
Tmem39a,,
Mis12,,
Zbtb32,,
Gm11423,,
St6gal1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Cd274,,
